"State Name","Total Cases","New Cases","Total Deaths","New Deaths"
"Maharashtra","691","56","30","1"
"Tamil Nadu","485","0","4","2"
"Delhi","445","0","6","0"
"Kerala","306","0","2","0"
"Telangana","272","0","9","0"
"Uttar Pradesh","248","13","2","0"
"Andhra Pradesh","226","34","1","0"
"Rajasthan","210","6","5","1"
"Madhya Pradesh","189","23","11","0"
"Karnataka","146","2","4","0"
"Gujarat","122","14","11","1"
"Jammu and Kashmir","92","0","2","0"
"Haryana","84","0","1","0"
"Punjab","67","2","5","0"
"West Bengal","64","0","7","0"
"Bihar","32","0","1","0"
"Assam","26","1","0","0"
"Uttarakhand","22","0","0","0"
"Orissa","20","0","0","0"
"Chandigarh","18","0","1","0"
"Ladakh","14","0","0","0"
"Himachal Pradesh","13","7","1","0"
"Chattisgarh","10","0","0","0"
"Andaman and Nicobar","10","0","0","0"
"Goa","7","0","0","0"
"Puducherry","5","0","0","0"
"Manipur","2","0","0","0"
"Jharkhand","2","0","0","0"
"Mizoram","1","0","0","0"
"Arunachal Pradesh","1","0","0","0"